iter,t_granted,state,P_total,Q_total,updated,n_feeders,Vmag,Vang_rad
218,1.02,ITERATING,0.4815,0.056,10,10,0.678042,0.12484
219,1.02,ITERATING,0.4817,0.056,10,10,0.678035,0.124811
220,1.02,ITERATING,0.4817,0.056,10,10,0.678036,0.124812
221,1.02,ITERATING,0.4817,0.056,10,10,0.678036,0.124812
222,1.02,ITERATING,0.4818,0.056,10,10,0.678029,0.124782
223,1.02,ITERATING,0.4818,0.056,10,10,0.678029,0.124783
224,1.02,ITERATING,0.4818,0.056,10,10,0.678029,0.124783
225,1.02,ITERATING,0.4818,0.056,10,10,0.678029,0.124783
226,1.02,ITERATING,0.4818,0.056,10,10,0.678029,0.124783
227,1.02,ITERATING,0.4818,0.056,10,10,0.678029,0.124783
228,1.03,NEXT_STEP,0.4818,0.056,10,10,0.282812,-0.033612
229,1.03,ITERATING,0.4818,0.056,10,10,0.675766,0.094764
230,1.03,ITERATING,0.358,0.0309,10,10,0.682712,0.14571
231,1.03,ITERATING,0.3807,0.0354,10,10,0.681984,0.142874
232,1.03,ITERATING,0.4013,0.0395,10,10,0.681202,0.139269
233,1.03,ITERATING,0.4181,0.0429,10,10,0.68055,0.136245
234,1.03,ITERATING,0.4314,0.0456,10,10,0.680028,0.133837
235,1.03,ITERATING,0.4421,0.0478,10,10,0.67961,0.131917
236,1.03,ITERATING,0.4505,0.0495,10,10,0.679277,0.130386
237,1.03,ITERATING,0.4572,0.0509,10,10,0.679015,0.129189
238,1.03,ITERATING,0.4625,0.052,10,10,0.678802,0.128222
239,1.03,ITERATING,0.4666,0.0529,10,10,0.67864,0.127484
240,1.03,ITERATING,0.4699,0.0536,10,10,0.67851,0.126893
241,1.03,ITERATING,0.4726,0.0541,10,10,0.678405,0.126419
242,1.03,ITERATING,0.4745,0.0545,10,10,0.678326,0.126062
243,1.03,ITERATING,0.4762,0.0549,10,10,0.678261,0.125765
244,1.03,ITERATING,0.4774,0.0551,10,10,0.678213,0.125555
245,1.03,ITERATING,0.4784,0.0553,10,10,0.678175,0.125383
246,1.03,ITERATING,0.4792,0.0555,10,10,0.678144,0.125239
247,1.03,ITERATING,0.4797,0.0556,10,10,0.678125,0.125154
248,1.03,ITERATING,0.4802,0.0557,10,10,0.678106,0.125068
249,1.03,ITERATING,0.4805,0.0558,10,10,0.678094,0.125011
250,1.03,ITERATING,0.4809,0.0558,10,10,0.678081,0.124953
251,1.03,ITERATING,0.481,0.0559,10,10,0.678075,0.124925
252,1.03,ITERATING,0.4813,0.0559,10,10,0.678062,0.124867
253,1.03,ITERATING,0.4813,0.0559,10,10,0.678062,0.124867
254,1.03,ITERATING,0.4815,0.056,10,10,0.678056,0.124838
255,1.03,ITERATING,0.4817,0.056,10,10,0.678049,0.124809
256,1.03,ITERATING,0.4817,0.056,10,10,0.678049,0.12481
257,1.03,ITERATING,0.4817,0.056,10,10,0.678049,0.12481
258,1.03,ITERATING,0.4818,0.056,10,10,0.678043,0.124781
259,1.03,ITERATING,0.4818,0.056,10,10,0.678043,0.124781
260,1.03,ITERATING,0.4818,0.056,10,10,0.678043,0.124781
261,1.03,ITERATING,0.4818,0.056,10,10,0.678043,0.124781
262,1.03,ITERATING,0.4818,0.056,10,10,0.678043,0.124781
263,1.03,ITERATING,0.4818,0.056,10,10,0.678043,0.124781
264,1.03,ITERATING,0.4818,0.056,10,10,0.678043,0.124781
265,1.04,NEXT_STEP,0.4818,0.056,10,10,0.282812,-0.033612
266,1.04,ITERATING,0.4818,0.056,10,10,0.675766,0.094764
267,1.04,ITERATING,0.358,0.0309,10,10,0.682712,0.14571
268,1.04,ITERATING,0.3807,0.0354,10,10,0.681984,0.142874
269,1.04,ITERATING,0.4013,0.0395,10,10,0.681202,0.139269
270,1.04,ITERATING,0.4181,0.0429,10,10,0.68055,0.136245
271,1.04,ITERATING,0.4314,0.0456,10,10,0.680028,0.133837
272,1.04,ITERATING,0.4421,0.0478,10,10,0.67961,0.131917
273,1.04,ITERATING,0.4505,0.0495,10,10,0.679277,0.130386
274,1.04,ITERATING,0.4573,0.0509,10,10,0.679008,0.129162
275,1.04,ITERATING,0.4625,0.052,10,10,0.678802,0.128221
276,1.04,ITERATING,0.4666,0.0529,10,10,0.67864,0.127484
277,1.04,ITERATING,0.4699,0.0536,10,10,0.67851,0.126893
278,1.04,ITERATING,0.4726,0.0541,10,10,0.678405,0.126419
279,1.04,ITERATING,0.4745,0.0545,10,10,0.678326,0.126062
280,1.04,ITERATING,0.4762,0.0549,10,10,0.678261,0.125765
281,1.04,ITERATING,0.4774,0.0551,10,10,0.678213,0.125555
282,1.04,ITERATING,0.4784,0.0553,10,10,0.678175,0.125383
283,1.04,ITERATING,0.4792,0.0555,10,10,0.678144,0.125239
284,1.04,ITERATING,0.4797,0.0556,10,10,0.678125,0.125154
285,1.04,ITERATING,0.4802,0.0557,10,10,0.678106,0.125068
286,1.04,ITERATING,0.4805,0.0558,10,10,0.678094,0.125011
287,1.04,ITERATING,0.4809,0.0558,10,10,0.678081,0.124953
288,1.04,ITERATING,0.481,0.0559,10,10,0.678075,0.124925
289,1.04,ITERATING,0.4813,0.0559,10,10,0.678062,0.124867
290,1.04,ITERATING,0.4813,0.0559,10,10,0.678062,0.124867
291,1.04,ITERATING,0.4815,0.056,10,10,0.678056,0.124838
292,1.04,ITERATING,0.4817,0.056,10,10,0.678049,0.124809
293,1.04,ITERATING,0.4817,0.056,10,10,0.678049,0.12481
294,1.04,ITERATING,0.4817,0.056,10,10,0.678049,0.12481
295,1.04,ITERATING,0.4818,0.056,10,10,0.678043,0.124781
296,1.04,ITERATING,0.4818,0.056,10,10,0.678043,0.124781
297,1.04,ITERATING,0.4818,0.056,10,10,0.678043,0.124781
298,1.04,ITERATING,0.4818,0.056,10,10,0.678043,0.124781
299,1.04,ITERATING,0.4818,0.056,10,10,0.678043,0.124781
300,1.04,ITERATING,0.4818,0.056,10,10,0.678043,0.124781
301,1.04,ITERATING,0.4818,0.056,10,10,0.678043,0.124781
302,1.05,NEXT_STEP,0.4818,0.056,10,10,0.282812,-0.033612
303,1.05,ITERATING,0.4818,0.056,10,10,0.675766,0.094764
304,1.05,ITERATING,0.358,0.0309,10,10,0.682712,0.14571
305,1.05,ITERATING,0.3807,0.0354,10,10,0.681984,0.142874
306,1.05,ITERATING,0.4013,0.0395,10,10,0.681202,0.139269
307,1.05,ITERATING,0.4181,0.0429,10,10,0.68055,0.136245
308,1.05,ITERATING,0.4314,0.0456,10,10,0.680028,0.133837
309,1.05,ITERATING,0.4421,0.0478,10,10,0.67961,0.131917
310,1.05,ITERATING,0.4505,0.0495,10,10,0.679277,0.130386
311,1.05,ITERATING,0.4573,0.0509,10,10,0.679008,0.129162
312,1.05,ITERATING,0.4625,0.052,10,10,0.678802,0.128221
313,1.05,ITERATING,0.4666,0.0529,10,10,0.67864,0.127484
314,1.05,ITERATING,0.4699,0.0536,10,10,0.67851,0.126893
315,1.05,ITERATING,0.4726,0.0541,10,10,0.678405,0.126419
316,1.05,ITERATING,0.4745,0.0545,10,10,0.678326,0.126062
317,1.05,ITERATING,0.4762,0.0549,10,10,0.678261,0.125765
318,1.05,ITERATING,0.4774,0.0551,10,10,0.678213,0.125555
319,1.05,ITERATING,0.4784,0.0553,10,10,0.678175,0.125383
320,1.05,ITERATING,0.4792,0.0555,10,10,0.678144,0.125239
321,1.05,ITERATING,0.4797,0.0556,10,10,0.678125,0.125154
322,1.05,ITERATING,0.4802,0.0557,10,10,0.678106,0.125068
323,1.05,ITERATING,0.4805,0.0558,10,10,0.678094,0.125011
