iter,outer_iter,t_granted,cosim_dt,tx_tds_step,state,updated,P_total,Q_total,Vmag,Vang_rad,fault_idx,fault_bus,fault_active,fault_rf,fault_xf,fault_bus_vmag,fault_bus_vang_rad,event_line_idx,event_bus1,event_bus2,event_line_status,event_bus1_vmag,event_bus1_vang_rad,event_bus2_vmag,event_bus2_vang_rad,event_bus_angle_diff_deg,postfault_line_idx,postfault_bus1,postfault_bus2,postfault_line_status,delta_min_deg,delta_max_deg,delta_spread_deg,delta_min_idx,delta_min_bus,delta_max_idx,delta_max_bus,omega_min_pu,omega_max_pu,omega_max_dev,omega_min_idx,omega_min_bus,omega_max_idx,omega_max_bus,vf_min_pu,vf_max_pu,vf_min_idx,vf_min_bus,vf_max_idx,vf_max_bus,omega_GENROU_1_pu,omega_GENROU_1_bus,omega_GENROU_2_pu,omega_GENROU_2_bus,omega_GENROU_3_pu,omega_GENROU_3_bus,omega_GENROU_4_pu,omega_GENROU_4_bus,omega_GENROU_5_pu,omega_GENROU_5_bus
37,1,0.09,0.003,0.03,NEXT_STEP,0,0.0358463223064505,0.0172869914641516,1.0086703651992392,-0.1773882544532281,Fault_Interface,14,0.0,0.0,0.3,1.0086703651992392,-0.1773882544532281,,,,,,,,,,,,,,10.947320231857905,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854504001462163,1.9941460775066104,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
38,1,0.093,0.003,0.03,NEXT_STEP,0,0.0358463223064505,0.0172869914641516,1.008670364749642,-0.1773882549580832,Fault_Interface,14,0.0,0.0,0.3,1.008670364749642,-0.1773882549580832,,,,,,,,,,,,,,10.947320231857905,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854504029552684,1.994146108628415,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
39,1,0.096,0.003,0.03,NEXT_STEP,0,0.0358463223064505,0.0172869914641516,1.008670364324284,-0.1773882554442868,Fault_Interface,14,0.0,0.0,0.3,1.008670364324284,-0.1773882554442868,,,,,,,,,,,,,,10.947320231857905,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854504056249345,1.994146138223213,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
40,1,0.099,0.003,0.03,NEXT_STEP,0,0.0358463223064505,0.0172869914641516,1.0086703639222525,-0.1773882559123397,Fault_Interface,14,0.0,0.0,0.3,1.0086703639222525,-0.1773882559123397,,,,,,,,,,,,,,10.947320231857905,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.485450408162737,1.9941461663465112,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
41,1,0.102,0.003,0.03,NEXT_STEP,0,0.0358463223064505,0.0172869914641516,1.0086703635430465,-0.1773882563629355,Fault_Interface,14,0.0,0.0,0.3,1.0086703635430465,-0.1773882563629355,,,,,,,,,,,,,,10.947320231857905,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854504105755564,1.9941461930581124,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
42,1,0.105,0.003,0.03,NEXT_STEP,0,0.0358463223064505,0.0172869914641516,1.0086703631852256,-0.1773882567970203,Fault_Interface,14,0.0,0.0,0.3,1.0086703631852256,-0.1773882567970203,,,,,,,,,,,,,,10.947320231857905,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854504126658157,1.9941462184200336,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
43,1,0.108,0.003,0.03,NEXT_STEP,0,0.0358463223064505,0.0172869914641516,1.0086703628490532,-0.1773882572148917,Fault_Interface,14,0.0,0.0,0.3,1.0086703628490532,-0.1773882572148917,,,,,,,,,,,,,,10.947320231857905,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.485450414868791,1.9941462424948388,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
44,1,0.111,0.003,0.03,NEXT_STEP,0,0.0358463223064505,0.0172869914641516,1.0086703625326023,-0.1773882576171367,Fault_Interface,14,0.0,0.0,0.3,1.0086703625326023,-0.1773882576171367,,,,,,,,,,,,,,10.947320231857905,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.485450416799803,1.9941462653443736,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
45,1,0.114,0.003,0.03,NEXT_STEP,0,0.0358463223064505,0.0172869914641516,1.0086703622360724,-0.1773882580042252,Fault_Interface,14,0.0,0.0,0.3,1.0086703622360724,-0.1773882580042252,,,,,,,,,,,,,,10.947320231857905,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854504188251252,1.994146287028764,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
47,2,0.117,0.003,0.03,NEXT_STEP,0,0.0358463223055231,0.0172869914635547,1.0086703619582338,-0.1773882583765587,Fault_Interface,14,0.0,0.0,0.3,1.0086703619582338,-0.1773882583765587,,,,,,,,,,,,,,10.947320231857905,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.485450420596192,1.9941463076057695,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
